Time,BP,MBP,HR,Event
359.5,98.25574,81.47656,421.2812,
359.501,99.50347,81.55469,421.625,
359.502,100.4003,81.64062,421.1875,
359.503,101.3127,81.70312,421.3125,
359.504,101.9833,81.52344,421.125,
359.505,102.5604,81.50781,421.2812,
359.506,103.2934,81.60156,421.25,
359.507,103.6755,81.69531,421.1875,
359.508,104.0577,81.75781,421.7812,
359.509,104.1902,81.57812,421.2188,
359.51,104.2292,81.5625,421.625,
359.511,104.4554,81.66406,421.1562,
359.512,104.3462,81.75,421.5312,
359.513,104.2448,81.82812,421.2812,
359.514,103.9173,81.63281,421.4375,
359.515,103.5352,81.63281,421.3125,
359.516,103.3402,81.71094,421.1875,
359.517,102.8801,81.8125,421.1875,
359.518,102.459,81.88281,421.25,
359.519,101.843,81.67969,421.625,
359.52,101.2191,81.6875,421.1875,
359.521,100.7902,81.75781,421.5312,
359.522,100.1429,81.85938,421.1875,
359.523,99.55806,81.92969,421.5938,
359.524,98.80942,81.73438,421.25,
359.525,98.06079,81.71875,421.2188,
359.526,97.5227,81.78906,421.2188,
359.527,96.81306,81.90625,421.1875,
359.528,96.14241,81.96094,421.375,
359.529,95.34698,81.75781,421.1875,
359.53,94.56716,81.75781,422.5312,
359.531,94.01348,81.83594,422.5625,
359.532,93.28824,81.94531,422.5938,
359.533,92.64878,82,422.625,
359.534,91.86895,81.79688,422.5,
359.535,91.15931,81.77344,422.5938,
359.536,90.66802,81.86719,422.5312,
359.537,90.03635,81.95312,422.6562,
359.538,89.49047,82.01562,422.5312,
359.539,88.81982,81.82812,422.5,
359.54,88.22715,81.79688,422.5,
359.541,87.86843,81.88281,422.5938,
359.542,87.33815,81.96875,422.6562,
359.543,86.90145,82.03125,422.5938,
359.544,86.33997,81.82031,422.5938,
359.545,85.86427,81.8125,422.5625,
359.546,85.59133,81.89062,422.625,
359.547,85.19362,81.98438,422.5625,
359.548,84.8505,82.03906,422.5625,
359.549,84.3982,81.82031,422.5938,
359.55,83.99269,81.8125,422.5625,
359.551,83.80553,81.89844,422.5625,
359.552,83.478,81.97656,422.5938,
359.553,83.20506,82.03906,422.625,
359.554,82.82294,81.82031,422.4688,
359.555,82.47982,81.82812,422.5625,
359.556,82.35505,81.89844,422.6562,
359.557,82.05871,81.96875,422.625,
359.558,81.80917,82.02344,422.5312,
359.559,81.47384,81.82031,422.5938,
359.56,81.14631,81.80469,422.5938,
359.561,81.06833,81.89844,422.625,
359.562,80.80319,81.96875,422.5938,
359.563,80.56144,82.04688,422.625,
359.564,80.24951,81.83594,422.5312,
359.565,79.93758,81.82031,422.5625,
359.566,79.844,81.89844,422.6562,
359.567,79.59446,81.98438,422.6562,
359.568,79.3839,82.03125,422.625,
359.569,79.05637,81.8125,422.5,
359.57,78.75224,81.80469,422.5625,
359.571,78.65866,81.88281,422.5625,
359.572,78.42471,81.96875,422.5938,
359.573,78.19077,82.02344,422.6562,
359.574,77.86324,81.80469,422.5312,
359.575,77.5747,81.79688,422.5625,
359.576,77.48112,81.86719,422.6562,
359.577,77.23938,81.95312,422.625,
359.578,77.00543,82.01562,422.5,
359.579,76.6935,81.79688,422.5312,
359.58,76.38156,81.78125,422.625,
359.581,76.28798,81.84375,422.5938,
359.582,76.06963,81.92969,422.6562,
359.583,75.83568,81.98438,422.5625,
359.584,75.51596,81.78125,422.5938,
359.585,75.21962,81.76562,422.6562,
359.586,75.11824,81.82812,422.6562,
359.587,74.89209,81.92969,422.625,
359.588,74.66594,81.96875,422.5312,
359.589,74.33062,81.75781,422.5,
359.59,74.04988,81.75,422.5938,
359.591,73.9641,81.82031,422.6875,
359.592,73.72235,81.90625,422.5938,
359.593,73.4962,81.95312,422.5625,
359.594,73.16087,81.75781,422.5312,
359.595,72.87234,81.72656,422.625,
359.596,72.78656,81.80469,422.5938,
359.597,72.54481,81.88281,422.5938,
359.598,72.30306,81.94531,422.5,
359.599,71.97554,81.71875,422.5625,
359.6,71.7026,81.71094,422.5312,
359.601,71.58562,81.76562,422.625,
359.602,71.35167,81.85938,422.5938,
359.603,71.11772,81.92188,422.6562,
359.604,70.7668,81.69531,422.625,
359.605,70.47047,81.67969,422.6875,
359.606,70.36909,81.75781,422.625,
359.607,70.12734,81.82031,422.5938,
359.608,69.89339,81.89844,422.6875,
359.609,69.56587,81.67969,422.6562,
359.61,69.27733,81.63281,422.5625,
359.611,69.17595,81.71875,422.5625,
359.612,68.942,81.80469,422.5938,
359.613,68.71585,81.85938,422.5,
